"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.1893194120309e-14,0.591595935735168,0.557,0.296,3.56377413890391e-10,"1","Selenbp1"
2.31697821368517e-14,0.556570751431614,0.88,0.696,3.77157713623672e-10,"1","Scara3"
2.92032001307911e-14,0.492278356477452,0.839,0.556,4.75369691729018e-10,"1","Hspb1"
2.95592913729287e-14,0.794808874890194,0.625,0.415,4.81166144968533e-10,"1","Ddit4"
3.1427093121181e-14,0.526032097666214,0.828,0.571,5.11570221826584e-10,"1","Cxcl12"
4.9904828967018e-14,0.408828138414295,1,0.981,8.12350805925119e-10,"1","Gpx4"
6.43098043028213e-14,0.48202469152671,0.995,0.908,1.04683499444133e-09,"1","Cnn3"
7.89499774683805e-14,0.588794362312183,0.667,0.428,1.2851477332303e-09,"1","Arid5b"
8.75381294034901e-14,0.33339662329607,1,0.996,1.42494567043001e-09,"1","Cox6c"
9.29427707476224e-14,0.695685146674689,0.469,0.245,1.5129224222298e-09,"1","Mid1ip1"
1.22936769690405e-13,0.634119284489172,0.844,0.632,2.00116473702042e-09,"1","Krt5"
1.42241214330926e-13,0.785744070636553,0.661,0.436,2.31540248687881e-09,"1","Slc6a6"
2.72686137056975e-13,0.607892902000333,0.438,0.209,4.43878493901344e-09,"1","Tnfaip2"
3.01694482220871e-13,0.42492164153866,1,0.944,4.91098278159133e-09,"1","Ctsb"
3.26385974444758e-13,0.822795706196803,1,1,5.31291089201178e-09,"1","Odam"
3.29524726048576e-13,0.701900569601979,0.474,0.257,5.36400349061872e-09,"1","Atf5"
4.34226093611602e-13,0.469387164143098,0.344,0.137,7.06833235180965e-09,"1","Nectin1"
7.07217584316675e-13,0.533364528562186,0.896,0.709,1.15120878375068e-08,"1","Tsc22d3"
8.08829703795259e-13,0.59917501782842,0.411,0.198,1.31661299183792e-08,"1","2810013P06Rik"
1.03623470329354e-12,0.477673549936383,0.974,0.889,1.68678285002122e-08,"1","Rabac1"
1.29163049451307e-12,0.46870659191381,0.599,0.354,2.10251611896837e-08,"1","Plac8"
1.96101582370371e-12,0.3855631548002,1,0.997,3.19214155782489e-08,"1","Cox8a"
2.07465016802959e-12,0.391797830550838,0.531,0.271,3.37711554351857e-08,"1","Sfn"
2.76999380025684e-12,0.48985675801432,0.953,0.737,4.50899590805809e-08,"1","Cox4i2"
2.91880171940138e-12,0.497270658238085,0.693,0.448,4.75122543884156e-08,"1","Kidins220"
2.94500647169992e-12,0.552595498632622,0.63,0.424,4.79388153463314e-08,"1","Atp6ap2"
3.13372745984291e-12,0.425589091860698,1,0.991,5.10108155913229e-08,"1","Sem1"
3.26434139629613e-12,0.512236134184549,0.745,0.542,5.31369492489085e-08,"1","Fbln7"
4.56429891317858e-12,0.386883978191917,1,0.997,7.42976577087209e-08,"1","Amelx"
1.02797563969637e-11,0.466487545779679,0.792,0.591,1.67333874629775e-07,"1","Calb1"
1.1786595076016e-11,0.508465137134589,0.703,0.498,1.91862194647388e-07,"1","Igf1r"
1.22154319054097e-11,0.489166512609374,0.76,0.57,1.98842800556258e-07,"1","Tmbim4"
1.43186017918529e-11,0.495094777899835,0.797,0.706,2.33078199967782e-07,"1","Tmem165"
1.72483879532851e-11,0.442943495848728,0.745,0.502,2.80769259103576e-07,"1","Avpi1"
2.14081784113245e-11,0.451614867053451,0.969,0.817,3.4848232817954e-07,"1","Cyb5a"
3.2338166943458e-11,0.41890448428111,0.865,0.64,5.26400681505609e-07,"1","Arl4a"
4.48796329319995e-11,0.494028196057875,0.88,0.658,7.30550664867088e-07,"1","Klf6"
5.35376086301722e-11,0.399089206259301,0.938,0.768,8.71485193281943e-07,"1","Ctsd"
7.13299285950133e-11,0.446858545852112,0.948,0.851,1.16110857766963e-06,"1","Map1lc3b"
7.81617764867505e-11,0.360512546946272,0.974,0.885,1.27231739765132e-06,"1","Lamp1"
1.75023584970458e-10,0.374656138680667,0.99,0.865,2.84903391614912e-06,"1","Marcks"
2.40172415613191e-10,0.487765693457953,0.318,0.142,3.90952658135153e-06,"1","Gm3883"
2.6054040551829e-10,0.66211201631089,0.964,0.973,4.24107672102672e-06,"1","Krt14"
2.93943041064589e-10,0.527345865874487,0.698,0.571,4.78480482244938e-06,"1","Fcgrt"
3.30553397465143e-10,0.334338113086017,1,0.992,5.38074820393759e-06,"1","Cst3"
3.48538355441064e-10,0.425097794278272,0.958,0.837,5.67350734986965e-06,"1","1810058I24Rik"
3.65648343703389e-10,0.46864570516835,0.891,0.729,5.95202373880377e-06,"1","Lmo4"
3.70509810663744e-10,0.40631645261058,0.901,0.806,6.03115869798442e-06,"1","Atraid"
4.16308984162443e-10,0.393867504151302,0.266,0.101,6.77667764419625e-06,"1","Klhl33"
4.72656534621803e-10,0.468399076531398,0.354,0.175,7.6939030705737e-06,"1","Kctd6"
5.2511809711748e-10,0.448863467392546,0.573,0.349,8.54787238487834e-06,"1","Chchd10"
6.87180633080056e-10,0.358193159061485,0.859,0.626,1.11859263452771e-05,"1","S100a13"
7.40562388463004e-10,0.457018681060451,0.656,0.483,1.20548745594008e-05,"1","S1pr3"
9.49454900779253e-10,0.51282132044071,0.526,0.346,1.54552268748847e-05,"1","Pdlim5"
1.01400329548817e-09,0.486509533901497,0.479,0.291,1.65059456439565e-05,"1","Ctsf"
1.11324010774134e-09,0.572059920901387,1,0.994,1.81213224738135e-05,"1","Vim"
1.35324678090546e-09,0.363692653717749,0.979,0.967,2.20281510995791e-05,"1","Atp6v1g1"
1.56920402415204e-09,0.511856417292781,0.688,0.581,2.55435031051469e-05,"1","Chpt1"
1.61232150397797e-09,0.57249116486398,0.958,0.891,2.62453694417534e-05,"1","Amtn"
1.66870964218003e-09,0.446142377516048,0.839,0.677,2.71632555554066e-05,"1","Lamp2"
